town,state,year,subject,creator,type,attribution,image,fig_num,location,popup,lng,lat,icon,choice
Acton,MA,1818,Mercy Davies,Rufus Porter,portrait,Bowdoin,NA,NA,"Acton, MA","<b> Acton, MA </b> <br> Rufus Porter <br> Mercy Davies",-71.4403508606828,42.4886686174313,portrait,RP
Andover,MA,1830,Hannah Trow Flagg,Rufus Porter,portrait,Bowdoin,NA,NA,"Andover, MA","<b> Andover, MA </b> <br> Rufus Porter <br> Hannah Trow Flagg",-71.1361590546768,42.6686138596963,portrait,RP
Andover,MA,1830,Timothy Flagg,Rufus Porter,portrait,Bowdoin,NA,NA,"Andover, MA","<b> Andover, MA </b> <br> Rufus Porter <br> Timothy Flagg",-71.1459437018853,42.6700162830673,portrait,RP
Andover,MA,1830,Martha Swan Flagg,Rufus Porter,portrait,Bowdoin,NA,NA,"Andover, MA","<b> Andover, MA </b> <br> Rufus Porter <br> Martha Swan Flagg",-71.1365241123515,42.6535333868073,portrait,RP
Andover,MA,1830,John Flagg,Rufus Porter,portrait,Bowdoin,NA,NA,"Andover, MA","<b> Andover, MA </b> <br> Rufus Porter <br> John Flagg",-71.1311276504579,42.6480750566554,portrait,RP
Bedford,MA,1830,"Reuben Bacon, Jr.",Rufus Porter,portrait,Bowdoin,NA,NA,"Bedford, MA","<b> Bedford, MA </b> <br> Rufus Porter <br> Reuben Bacon, Jr.",-71.2723155114136,42.4922060186153,portrait,RP
Boston,MA,1825,Volunteer Infantry or Light Infantry Company Member,Rufus Porter,portrait,Bowdoin,NA,NA,"Boston, MA","<b> Boston, MA </b> <br> Rufus Porter <br> Volunteer Infantry or Light Infantry Company Member",-71.0604131295779,42.3640681251636,portrait,RP
Cambridge,MA,1819,Sarah Warland Porter,Rufus Porter,portrait,Bowdoin,NA,NA,"Cambridge, MA","<b> Cambridge, MA </b> <br> Rufus Porter <br> Sarah Warland Porter",-71.1059605437187,42.3783132859686,portrait,RP
Cambridge,MA,1819,Israel Porter,Rufus Porter,portrait,Bowdoin,NA,NA,"Cambridge, MA","<b> Cambridge, MA </b> <br> Rufus Porter <br> Israel Porter",-71.100935354341,42.3734580150784,portrait,RP
Chelmsford,MA,1825,Jonathan Smith and Pamelia Moors,Rufus Porter,portrait,Bowdoin,NA,NA,"Chelmsford, MA","<b> Chelmsford, MA </b> <br> Rufus Porter <br> Jonathan Smith and Pamelia Moors",-71.3668021219338,42.6079486225166,portrait,RP
Haverhill,MA,1821,Eliza Greenleaf Plummer,Rufus Porter,portrait,Bowdoin,NA,NA,"Haverhill, MA","<b> Haverhill, MA </b> <br> Rufus Porter <br> Eliza Greenleaf Plummer",-71.0847866311384,42.776682475722,portrait,RP
Lawrence,MA,1838,Jane Noyes Gage,Rufus Porter,portrait,Bowdoin,NA,NA,"Lawrence, MA","<b> Lawrence, MA </b> <br> Rufus Porter <br> Jane Noyes Gage",-71.1690111753235,42.7032724556687,portrait,RP
Lawrence,MA,1838,Joseph Nichols Gage,Rufus Porter,portrait,Bowdoin,NA,NA,"Lawrence, MA","<b> Lawrence, MA </b> <br> Rufus Porter <br> Joseph Nichols Gage",-71.1716331961985,42.7171464775053,portrait,RP
Lexington,MA,1820,Lot Robbins,Rufus Porter,portrait,Bowdoin,NA,NA,"Lexington, MA","<b> Lexington, MA </b> <br> Rufus Porter <br> Lot Robbins",-71.2267800956936,42.4454848330208,portrait,RP
Portland,ME,1815,Child of the Lane Family,Rufus Porter,portrait,Bowdoin,NA,NA,"Portland, ME","<b> Portland, ME </b> <br> Rufus Porter <br> Child of the Lane Family",-70.2611146936335,43.6712569311446,portrait,RP
Portland,ME,1815,Thomas Long,Rufus Porter,portrait,Bowdoin,NA,NA,"Portland, ME","<b> Portland, ME </b> <br> Rufus Porter <br> Thomas Long",-70.2590379972111,43.66881791826,portrait,RP
Harvard,MA,1830,Fruitlands Museums,Porter School,mural,Fruitlands Museums,NA,color plate 8,"Harvard, MA","<b> Harvard, MA </b> <br> Porter School <br> Fruitlands Museums",-71.5802731062773,42.4868023849863,school,school
Amesbury,MA,1830,Bartlett House,Porter School,mural,Lipman,NA,NA,"Amesbury, MA","<b> Amesbury, MA </b> <br> Porter School <br> Bartlett House",-70.9304575880536,42.8600531619168,school,school
Andover,MA,1835,Poor-Perry House,Porter School,mural,Lipman,NA,NA,"Andover, MA","<b> Andover, MA </b> <br> Porter School <br> Poor-Perry House",-71.1330941895129,42.6555041329849,school,school
Bedford,MA,1830,Penniman-Stearns House,Porter School,mural,Lipman,NA,NA,"Bedford, MA","<b> Bedford, MA </b> <br> Porter School <br> Penniman-Stearns House",-71.2763997857142,42.5031022767945,school,school
Bedford,MA,1830,Jonas Monroe House,Porter School,mural,Lipman,NA,NA,"Bedford, MA","<b> Bedford, MA </b> <br> Porter School <br> Jonas Monroe House",-71.2786083670017,42.4872803759906,school,school
Bedford,MA,1830,Dutton House,Porter School,mural,Lipman,NA,NA,"Bedford, MA","<b> Bedford, MA </b> <br> Porter School <br> Dutton House",-71.2716414495946,42.4841310281352,school,school
Bedford,MA,1830,Carroll Dunham House,Porter School,mural,Lipman,NA,NA,"Bedford, MA","<b> Bedford, MA </b> <br> Porter School <br> Carroll Dunham House",-71.2746300057922,42.5021376028334,school,school
Bedford,MA,1830,Job Lane House,Porter School,mural,Lipman,NA,NA,"Bedford, MA","<b> Bedford, MA </b> <br> Porter School <br> Job Lane House",-71.2677482715109,42.5039571506077,school,school
Billerica,MA,1830,Donald Schult House,Porter School,mural,Lipman,NA,NA,"Billerica, MA","<b> Billerica, MA </b> <br> Porter School <br> Donald Schult House",-71.2765931218581,42.5531727097925,school,school
Billerica,MA,1830,Lyons House,Porter School,mural,Lipman,NA,NA,"Billerica, MA","<b> Billerica, MA </b> <br> Porter School <br> Lyons House",-71.2663219142427,42.5701287541635,school,school
Billerica,MA,1830,Dyer House,Porter School,mural,Lipman,NA,NA,"Billerica, MA","<b> Billerica, MA </b> <br> Porter School <br> Dyer House",-71.2599973763129,42.5712473618315,school,school
Billerica,MA,1830,Manning Manse,Porter School,mural,Lipman,NA,NA,"Billerica, MA","<b> Billerica, MA </b> <br> Porter School <br> Manning Manse",-71.2606452270988,42.5639168680658,school,school
Boston,MA,1843,Beacon Hill Boarding House,Porter School,mural,Lipman,NA,NA,"Boston, MA","<b> Boston, MA </b> <br> Porter School <br> Beacon Hill Boarding House",-71.0494155724866,42.3577221325429,school,school
Charlestown,MA,1835,Levi Prosser House,Porter School,mural,Lipman,NA,NA,"Charlestown, MA","<b> Charlestown, MA </b> <br> Porter School <br> Levi Prosser House",-71.0561055344082,42.3894137387001,school,school
East Haverhill,MA,1830,Ingalls-Colby House,Porter School,mural,Lipman,NA,72,"East Haverhill, MA","<b> East Haverhill, MA </b> <br> Porter School <br> Ingalls-Colby House",-71.0970601875141,42.738989558697,school,school
East Peperell,MA,1824,Coburn Tavern,Porter School,mural,Lipman,NA,NA,"East Peperell, MA","<b> East Peperell, MA </b> <br> Porter School <br> Coburn Tavern",-71.5744182503034,42.6705177559756,school,school
East Weymouth,MA,1845,Senigo House,Porter School,mural,Lipman,NA,NA,"East Weymouth, MA","<b> East Weymouth, MA </b> <br> Porter School <br> Senigo House",-70.9381121567708,42.2055123149757,school,school
Georgetown,MA,1832,G. Arthur Merrill House,Porter School,mural,Lipman,NA,NA,"Georgetown, MA","<b> Georgetown, MA </b> <br> Porter School <br> G. Arthur Merrill House",-70.9888346357087,42.7311350410135,school,school
Georgetown,MA,1832,Pingree House,Porter School,mural,Lipman,NA,NA,"Georgetown, MA","<b> Georgetown, MA </b> <br> Porter School <br> Pingree House",-70.9951695901135,42.7294112768333,school,school
Georgetown,MA,1832,Pierce House,Porter School,mural,Lipman,NA,NA,"Georgetown, MA","<b> Georgetown, MA </b> <br> Porter School <br> Pierce House",-71.0004125531456,42.7307020049557,school,school
Georgetown,MA,1832,Ethel M. Fredrick House,Porter School,mural,Lipman,NA,NA,"Georgetown, MA","<b> Georgetown, MA </b> <br> Porter School <br> Ethel M. Fredrick House",-70.9851373635742,42.7139999652201,school,school
Georgetown,MA,1832,John C. Wilkins House,Porter School,mural,Lipman,NA,NA,"Georgetown, MA","<b> Georgetown, MA </b> <br> Porter School <br> John C. Wilkins House",-70.9986840729895,42.7198498919645,school,school
Groton,MA,1835,Dr. Harold Ayers House,Jonathan D. Poor,mural,Lipman,NA,NA,"Groton, MA","<b> Groton, MA </b> <br> Jonathan D. Poor <br> Dr. Harold Ayers House",-71.5757018501964,42.6003295961656,jdp,JDP
Groveland,MA,1830,Harold Stacey House,Porter School,mural,Lipman,NA,NA,"Groveland, MA","<b> Groveland, MA </b> <br> Porter School <br> Harold Stacey House",-71.0376332387279,42.7671638308446,school,school
Groveland,MA,1830,Savery Homestead,Porter School,mural,Lipman,NA,NA,"Groveland, MA","<b> Groveland, MA </b> <br> Porter School <br> Savery Homestead",-71.0350969463667,42.7571409245387,school,school
Groveland,MA,1830,Spofford House,Porter School,mural,Lipman,NA,NA,"Groveland, MA","<b> Groveland, MA </b> <br> Porter School <br> Spofford House",-71.0236207879601,42.7563764738173,school,school
Groveland,MA,1830,Edna Worthing Cottage,Porter School,mural,Lipman,NA,NA,"Groveland, MA","<b> Groveland, MA </b> <br> Porter School <br> Edna Worthing Cottage",-71.0388944032282,42.7639286292312,school,school
Harvard,MA,1830,Joseph E. Lamborghini House,Porter School,mural,Lipman,NA,NA,"Harvard, MA","<b> Harvard, MA </b> <br> Porter School <br> Joseph E. Lamborghini House",-71.5900915700932,42.5090439325136,school,school
Harvard,MA,1830,R. Raynond Warren Apartments,Porter School,mural,Lipman,NA,NA,"Harvard, MA","<b> Harvard, MA </b> <br> Porter School <br> R. Raynond Warren Apartments",-71.5872644673154,42.5089341530215,school,school
Harvard,MA,1830,Wallace F. Bryant Estate Apartments (Whitney house),Porter School,mural,Lipman,NA,NA,"Harvard, MA","<b> Harvard, MA </b> <br> Porter School <br> Wallace F. Bryant Estate Apartments (Whitney house)",-71.5774191450168,42.4995260557019,school,school
Lexington,MA,1830,Joshua Simons House,Porter School,mural,Lipman,NA,NA,"Lexington, MA","<b> Lexington, MA </b> <br> Porter School <br> Joshua Simons House",-71.2240159570349,42.4345079870539,school,school
Lunenburg,MA,1830,Faith Gardner House,Porter School,mural,Lipman,NA,76,"Lunenburg, MA","<b> Lunenburg, MA </b> <br> Porter School <br> Faith Gardner House",-71.7333905896956,42.5944568725832,school,school
Merrimac,MA,1830,Sargent House,Porter School,mural,Lipman,NA,NA,"Merrimac, MA","<b> Merrimac, MA </b> <br> Porter School <br> Sargent House",-70.9985628139432,42.8445542250777,school,school
Merrimacport,MA,1830,Ronald Shaw HOuse,Porter School,mural,Lipman,NA,NA,"Merrimacport, MA","<b> Merrimacport, MA </b> <br> Porter School <br> Ronald Shaw HOuse",-70.9817698417726,42.8253224285395,school,school
North Reading,MA,1835,Van Heusen Seventeenth-Century Farms,Porter School,mural,Lipman,NA,color plate 9,"North Reading, MA","<b> North Reading, MA </b> <br> Porter School <br> Van Heusen Seventeenth-Century Farms",-71.0721543774577,42.5642454676204,school,school
North Reading,MA,1835,Frances Shay Mague House,Porter School,mural,Lipman,NA,NA,"North Reading, MA","<b> North Reading, MA </b> <br> Porter School <br> Frances Shay Mague House",-71.0793101550267,42.5620325332579,school,school
North Reading,MA,1835,Weeks Memorial Library,Porter School,mural,Lipman,NA,NA,"North Reading, MA","<b> North Reading, MA </b> <br> Porter School <br> Weeks Memorial Library",-71.082273660044,42.566922155738,school,school
North Reading,MA,1835,House near Route 28,Porter School,mural,Lipman,NA,NA,"North Reading, MA","<b> North Reading, MA </b> <br> Porter School <br> House near Route 28",-71.0745399514954,42.5678271405711,school,school
Townsend,MA,1830,Charles A. Smith House,Porter School,mural,Lipman,NA,NA,"Townsend, MA","<b> Townsend, MA </b> <br> Porter School <br> Charles A. Smith House",-71.7056854739654,42.6548168345657,school,school
Townsend,MA,1830,Reed Mansion,Porter School,mural,Lipman,NA,NA,"Townsend, MA","<b> Townsend, MA </b> <br> Porter School <br> Reed Mansion",-71.7046344601642,42.66119684696,school,school
Wakefield,MA,1835,Winn House,Porter School,mural,Lipman,NA,NA,"Wakefield, MA","<b> Wakefield, MA </b> <br> Porter School <br> Winn House",-71.0669430633826,42.5118340985531,school,school
Wakefield,MA,1835,Franklin Poole House,Porter School,mural,Lipman,NA,NA,"Wakefield, MA","<b> Wakefield, MA </b> <br> Porter School <br> Franklin Poole House",-71.0634369567677,42.4951386702347,school,school
Wakefield,MA,1835,Lilly Eaton House,Porter School,mural,Lipman,NA,NA,"Wakefield, MA","<b> Wakefield, MA </b> <br> Porter School <br> Lilly Eaton House",-71.0707257073744,42.5036011663465,school,school
Wakefield,MA,1835,Thomas Walton House,Porter School,mural,Lipman,NA,NA,"Wakefield, MA","<b> Wakefield, MA </b> <br> Porter School <br> Thomas Walton House",-71.0813961202238,42.4964782125383,school,school
Wakefield,MA,1835,Kenneth Odiorne House,Porter School,mural,Lipman,NA,NA,"Wakefield, MA","<b> Wakefield, MA </b> <br> Porter School <br> Kenneth Odiorne House",-71.0769941007778,42.4914943312866,school,school
West Boxford,MA,1838,John A. Andrew House,Porter School,mural,Lipman,NA,color plate 12,"West Boxford, MA","<b> West Boxford, MA </b> <br> Porter School <br> John A. Andrew House",-71.0644922748711,42.7133787727366,school,school
West Boxford,MA,1838,Joseph Burgson House,Porter School,mural,Lipman,NA,NA,"West Boxford, MA","<b> West Boxford, MA </b> <br> Porter School <br> Joseph Burgson House",-71.0567968133249,42.7192027032466,school,school
West Boxford,MA,1838,Hovey House,Porter School,mural,Lipman,NA,NA,"West Boxford, MA","<b> West Boxford, MA </b> <br> Porter School <br> Hovey House",-71.0660868594384,42.7134385250217,school,school
Westwood,MA,1838,Reuben Guild House,Rufus Porter and Stephen Twombly Porter,mural,Lipman,NA,NA,"Westwood, MA","<b> Westwood, MA </b> <br> Rufus Porter and Stephen Twombly Porter <br> Reuben Guild House",-71.2329202347572,42.2075936345995,rp_mural,RP
Westwood,MA,1838,Allen House,Rufus Porter and Stephen Twombly Porter,mural,Lipman,NA,NA,"Westwood, MA","<b> Westwood, MA </b> <br> Rufus Porter and Stephen Twombly Porter <br> Allen House",-71.2159132321881,42.2042752684172,rp_mural,RP
Bridgton,ME,1830,Deacon Libby House,Porter School,mural,Lipman,NA,NA,"Bridgton, ME","<b> Bridgton, ME </b> <br> Porter School <br> Deacon Libby House",-70.7210131578093,44.0525629445428,school,school
Bryant Pond,ME,1835,Whitman Homestead,Jonathan D. Poor,mural,Lipman,NA,NA,"Bryant Pond, ME","<b> Bryant Pond, ME </b> <br> Jonathan D. Poor <br> Whitman Homestead",-70.5935967931548,44.3902269557014,jdp,JDP
Buxton,ME,1830,Carroll Rounds House,Porter School,mural,Lipman,NA,NA,"Buxton, ME","<b> Buxton, ME </b> <br> Porter School <br> Carroll Rounds House",-70.5112976798945,43.6441937633012,school,school
Buxton,ME,1830,A.I. Poulsen House,Porter School,mural,Lipman,NA,NA,"Buxton, ME","<b> Buxton, ME </b> <br> Porter School <br> A.I. Poulsen House",-70.5118850547782,43.6354915716993,school,school
Fryeburg,ME,1830,Barrows Homestead,Rufus Porter and Jonathan D. Poor,mural,Lipman,NA,"color plate 14, color plate 15","Fryeburg, ME","<b> Fryeburg, ME </b> <br> Rufus Porter and Jonathan D. Poor <br> Barrows Homestead",-70.9901221366609,44.0273015363241,rp_mural,RP
Fryeburg,ME,1830,Warren-Towle House,Porter School,mural,Lipman,NA,NA,"Fryeburg, ME","<b> Fryeburg, ME </b> <br> Porter School <br> Warren-Towle House",-70.990544447444,44.0118214292763,school,school
Gorham,ME,1830,Dr. Files House,Porter School,mural,Lipman,NA,NA,"Gorham, ME","<b> Gorham, ME </b> <br> Porter School <br> Dr. Files House",-70.4395794580926,43.6827235125318,school,school
Gorham,ME,1851,Fox House,Granville Fernald,mural,Lipman,NA,NA,"Gorham, ME","<b> Gorham, ME </b> <br> Granville Fernald <br> Fox House",-70.4435082342384,43.6805200695318,other,other
Hollis Center,ME,1830,Quillcote,Porter School,mural,Lipman,NA,"70, 71","Hollis Center, ME","<b> Hollis Center, ME </b> <br> Porter School <br> Quillcote",-70.6299459881723,43.6466608295619,school,school
Lewiston,ME,1830,H.O. Wood House,Orison Wood,mural,Lipman,NA,NA,"Lewiston, ME","<b> Lewiston, ME </b> <br> Orison Wood <br> H.O. Wood House",-70.2121273028868,44.1132491652479,other,other
Lewiston,ME,1830,Howard W. Mann House,Orison Wood,mural,Lipman,NA,NA,"Lewiston, ME","<b> Lewiston, ME </b> <br> Orison Wood <br> Howard W. Mann House",-70.2235496315009,44.1084279000978,other,other
Monmouth,ME,1830,Simon Martson House,Porter School,mural,Lipman,NA,NA,"Monmouth, ME","<b> Monmouth, ME </b> <br> Porter School <br> Simon Martson House",-70.0356347143649,44.2287187612184,school,school
Parsonfield,ME,1830,Dalton House,Paine,mural,Lipman,NA,NA,"Parsonfield, ME","<b> Parsonfield, ME </b> <br> Paine <br> Dalton House",-70.9380002937294,43.740127768514,other,other
Portland,ME,1827,Deacon John Bailey House,Porter School,mural,Lipman,NA,NA,"Portland, ME","<b> Portland, ME </b> <br> Porter School <br> Deacon John Bailey House",-70.2546912503278,43.6558979603438,school,school
Portland,ME,1827,Ellis Place,Porter School,mural,Lipman,NA,NA,"Portland, ME","<b> Portland, ME </b> <br> Porter School <br> Ellis Place",-70.2632851046449,43.666669034656,school,school
Rumford,ME,1840,Phil Baker House,Jonathan D. Poor,mural,Lipman,NA,NA,"Rumford, ME","<b> Rumford, ME </b> <br> Jonathan D. Poor <br> Phil Baker House",-70.5556226214923,44.5486575972659,jdp,JDP
Sebec,ME,1824,Ellerton Jette House,"Rufus Porter and Moses Eaton, Jr.",mural,Lipman,NA,"61, 62","Sebec, ME","<b> Sebec, ME </b> <br> Rufus Porter and Moses Eaton, Jr. <br> Ellerton Jette House",-69.1242831333021,45.2801401439667,rp_mural,RP
South Bridgton,ME,1830,Ingalls House,Porter School,mural,Lipman,NA,NA,"South Bridgton, ME","<b> South Bridgton, ME </b> <br> Porter School <br> Ingalls House",-70.7012044481902,43.9785798235008,school,school
Turner,ME,1830,Captain Leavitt House,Orison Wood,mural,Lipman,NA,NA,"Turner, ME","<b> Turner, ME </b> <br> Orison Wood <br> Captain Leavitt House",-70.2609646852245,44.2653140005615,other,other
Turner,ME,1830,Unidentified House,Orison Wood,mural,Lipman,NA,NA,"Turner, ME","<b> Turner, ME </b> <br> Orison Wood <br> Unidentified House",-70.2554798618129,44.262183157917,other,other
Webster Corner,ME,1830,Cushman Tavern,Orison Wood,mural,Lipman,NA,93,"Webster Corner, ME","<b> Webster Corner, ME </b> <br> Orison Wood <br> Cushman Tavern",-70.0838671579332,44.0472462210736,other,other
West Auburn,ME,1830,Otis B. Tibbets House,Orison Wood,mural,Lipman,NA,NA,"West Auburn, ME","<b> West Auburn, ME </b> <br> Orison Wood <br> Otis B. Tibbets House",-70.2801544055149,44.1639754128926,other,other
West Mt. Vernon,ME,1835,Leon H. Marr House,Jonathan D. Poor,mural,Lipman,NA,NA,"West Mt. Vernon, ME","<b> West Mt. Vernon, ME </b> <br> Jonathan D. Poor <br> Leon H. Marr House",-70.0080577118076,44.4555177105353,jdp,JDP
West Mt. Vernon,ME,1835,Unidentified House,Jonathan D. Poor,mural,Lipman,NA,NA,"West Mt. Vernon, ME","<b> West Mt. Vernon, ME </b> <br> Jonathan D. Poor <br> Unidentified House",-70.0055679289179,44.4564533235656,jdp,JDP
