town,state,year,subject,creator,type,attribution,image,img_src,fig_num,location,popup,lng,lat,icon,choice
Chelmsford,MA,1825,Jonathan Smith and Pamelia Moors,Rufus Porter,portrait,Bowdoin,https://www.themagazineantiques.com/wp-content/uploads/2020/01/3-MrNMrsSmith_r-porter.jpg,"""Revisiting Rufus Porter"" by  Suzanne Rudnick Payne AND Michael R. Payne",NA,"Chelmsford, MA","<b>Jonathan Smith and Pamelia Moors</b><br> Attirbuted to Rufus Porter<br>1825<br><img src= 'NA', width = '200'>",-71.36955345,42.58880992,portrait,RP
Andover,MA,1830,Hannah Trow Flagg,Rufus Porter,portrait,Bowdoin,https://www.themagazineantiques.com/wp-content/uploads/2020/01/4a-HannahFlaggInFrame.jpg,"""Revisiting Rufus Porter"" by  Suzanne Rudnick Payne AND Michael R. Payne",NA,"Andover, MA","<b>Hannah Trow Flagg</b><br> Attirbuted to Rufus Porter<br>1830<br><img src= 'NA', width = '200'>",-71.13223492,42.66199577,portrait,RP
Andover,MA,1830,Timothy Flagg,Rufus Porter,portrait,Bowdoin,https://www.themagazineantiques.com/wp-content/uploads/2020/01/4b-TimothyFlagg_porter-copy-2.jpg,"""Revisiting Rufus Porter"" by  Suzanne Rudnick Payne AND Michael R. Payne",NA,"Andover, MA","<b>Timothy Flagg</b><br> Attirbuted to Rufus Porter<br>1830<br><img src= 'NA', width = '200'>",-71.1420233,42.66493032,portrait,RP
Acton,MA,1818,Mercy Davies,Rufus Porter,portrait,Bowdoin,NA,,NA,"Acton, MA","<b>Mercy Davies</b><br> Attirbuted to Rufus Porter<br>1818<br><img src= 'NA', width = '200'>",-71.4320768,42.48120767,portrait,RP
Andover,MA,1830,Martha Swan Flagg,Rufus Porter,portrait,Bowdoin,NA,,NA,"Andover, MA","<b>Martha Swan Flagg</b><br> Attirbuted to Rufus Porter<br>1830<br><img src= 'NA', width = '200'>",-71.13348538,42.64644699,portrait,RP
Andover,MA,1830,John Flagg,Rufus Porter,portrait,Bowdoin,NA,,NA,"Andover, MA","<b>John Flagg</b><br> Attirbuted to Rufus Porter<br>1830<br><img src= 'NA', width = '200'>",-71.14278616,42.65505494,portrait,RP
Bedford,MA,1830,"Reuben Bacon, Jr.",Rufus Porter,portrait,Bowdoin,NA,,NA,"Bedford, MA","<b>Reuben Bacon, Jr.</b><br> Attirbuted to Rufus Porter<br>1830<br><img src= 'NA', width = '200'>",-71.28087588,42.49010422,portrait,RP
Boston,MA,1825,Volunteer Infantry or Light Infantry Company Member,Rufus Porter,portrait,Bowdoin,NA,,NA,"Boston, MA","<b>Volunteer Infantry or Light Infantry Company Member</b><br> Attirbuted to Rufus Porter<br>1825<br><img src= 'NA', width = '200'>",-71.05206903,42.35199299,portrait,RP
Cambridge,MA,1819,Sarah Warland Porter,Rufus Porter,portrait,Bowdoin,NA,,NA,"Cambridge, MA","<b>Sarah Warland Porter</b><br> Attirbuted to Rufus Porter<br>1819<br><img src= 'NA', width = '200'>",-71.11287886,42.37002284,portrait,RP
Cambridge,MA,1819,Israel Porter,Rufus Porter,portrait,Bowdoin,NA,,NA,"Cambridge, MA","<b>Israel Porter</b><br> Attirbuted to Rufus Porter<br>1819<br><img src= 'NA', width = '200'>",-71.10625444,42.36007007,portrait,RP
Haverhill,MA,1821,Eliza Greenleaf Plummer,Rufus Porter,portrait,Bowdoin,NA,,NA,"Haverhill, MA","<b>Eliza Greenleaf Plummer</b><br> Attirbuted to Rufus Porter<br>1821<br><img src= 'NA', width = '200'>",-71.07630941,42.7715507,portrait,RP
Lawrence,MA,1838,Jane Noyes Gage,Rufus Porter,portrait,Bowdoin,NA,,NA,"Lawrence, MA","<b>Jane Noyes Gage</b><br> Attirbuted to Rufus Porter<br>1838<br><img src= 'NA', width = '200'>",-71.17271524,42.70936565,portrait,RP
Lawrence,MA,1838,Joseph Nichols Gage,Rufus Porter,portrait,Bowdoin,NA,,NA,"Lawrence, MA","<b>Joseph Nichols Gage</b><br> Attirbuted to Rufus Porter<br>1838<br><img src= 'NA', width = '200'>",-71.15923519,42.71872357,portrait,RP
Lexington,MA,1820,Lot Robbins,Rufus Porter,portrait,Bowdoin,NA,,NA,"Lexington, MA","<b>Lot Robbins</b><br> Attirbuted to Rufus Porter<br>1820<br><img src= 'NA', width = '200'>",-71.22831273,42.44932126,portrait,RP
Portland,ME,1815,Child of the Lane Family,Rufus Porter,portrait,Bowdoin,NA,,NA,"Portland, ME","<b>Child of the Lane Family</b><br> Attirbuted to Rufus Porter<br>1815<br><img src= 'NA', width = '200'>",-70.25497619,43.64975416,portrait,RP
Portland,ME,1815,Thomas Long,Rufus Porter,portrait,Bowdoin,NA,,NA,"Portland, ME","<b>Thomas Long</b><br> Attirbuted to Rufus Porter<br>1815<br><img src= 'NA', width = '200'>",-70.25986724,43.66226427,portrait,RP
Harvard,MA,1830,Fruitlands Museums,Porter School,mural,Fruitlands Museums,NA,,color plate 8,"Harvard, MA","<b>Fruitlands Museums</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-71.58546417,42.49521,school,school
East Haverhill,MA,1830,Ingalls-Colby House,Porter School,mural,Lipman,http://s3.amazonaws.com/afanews_articles/01019/FIG-3_-%281.7-pg.png,"""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe ",72,"East Haverhill, MA","<b>Ingalls-Colby House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-71.10794092,42.76383899,school,school
North Haverhill,NH,1825,Daniel Carr House,Porter School,mural,Lipman,https://docs.google.com/drawings/d/e/2PACX-1vQMz93gzU8H-0a56RNXAaYX7unjCKHDK39C8f7fgeYav6u6n561LpboDhzFonf4C8aJxMlqvGNbfZfV/pub?w=960&h=720,<em>Rufus Porter: Rediscovered</em> by Jean Lipman,"67, 68","North Haverhill, NH","<b>Daniel Carr House</b><br> Attirbuted to Porter School<br>1825<br><img src= 'NA', width = '200'>",-72.02859653,44.07638292,school,school
North Reading,MA,1835,Van Heusen Seventeenth-Century Farms,Porter School,mural,Lipman,https://docs.google.com/drawings/d/e/2PACX-1vRFgfu2ty75FVWz0GaKybF-rp4gCP3-G_B03Zrb0unaj9NkFhoHLoCZxhmC0GLNEdEGF-cGGR4UbZcx/pub?w=960&h=720,<em>Rufus Porter: Rediscovered</em> by Jean Lipman,color plate 9,"North Reading, MA","<b>Van Heusen Seventeenth-Century Farms</b><br> Attirbuted to Porter School<br>1835<br><img src= 'NA', width = '200'>",-71.08856819,42.57544277,school,school
Topsham,VT,1831,Elwin Chase House,Porter School,mural,Lipman,https://docs.google.com/drawings/d/e/2PACX-1vRqdEt7hB-JMV5q-a-Mj0CA2JaBgM2Tyqrwlr8x8rZSjR87UFhWuIQRzm-DjzTLPnrC8V9QqdM1uTZQ/pub?w=960&h=720,<em>Rufus Porter: Rediscovered</em> by Jean Lipman,color plate 10,"Topsham, VT","<b>Elwin Chase House</b><br> Attirbuted to Porter School<br>1831<br><img src= 'NA', width = '200'>",-72.26322628,44.14072525,school,school
Hancock,NH,1825,Patricia Holsaert House,Porter School,mural,Lipman,https://docs.google.com/drawings/d/e/2PACX-1vS8cFtj8Kbeo2EF2UY0tFhCkkQu_hxOHd1CtSp5AbZ6Z_-tqn3yRzvQAFZSjcPyr4pHOGTCbozxwT59/pub?w=960&h=720,<em>Rufus Porter: Rediscovered</em> by Jean Lipman,"color plate 6, color plate 7","Hancock, NH","<b>Patricia Holsaert House</b><br> Attirbuted to Porter School<br>1825<br><img src= 'NA', width = '200'>",-71.97009219,42.97437542,school,school
Groveland,MA,1830,Savery Homestead,Porter School,mural,Lipman,https://docs.google.com/drawings/d/e/2PACX-1vSENp1y4L9MtaUwLpdL2QRYbTb-0utJuJjlIX1OeY0YiTfabCTN0YkeaMpEsSjgITMsEeGzyiJWhndy/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,NA,"Groveland, MA","<b>Savery Homestead</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-71.0238886,42.75649005,school,school
Harvard,MA,1830,William A. Potter House,Porter School,mural,Lipman,https://docs.google.com/drawings/d/e/2PACX-1vSQtXJCslXi8J2Vm38lPXoClxevLVtR3t9p4B3f5qswvytUOVFRsyIdX_vKdrNnsP-VL5yH9h0uQnzp/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,NA,"Harvard, MA","<b>Joseph E. Lamborghini House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-71.58410775,42.49077029,school,school
West Boxford,MA,1838,John A. Andrew House,Porter School,mural,Lipman,https://docs.google.com/drawings/d/e/2PACX-1vSXB6N3NHpvrEIwkDNYAIBMfqcqrQg_pR8JjuRwtZlQ-RtzjLwZafTKwgWLFq695PT4OeSYL6JDrxyR/pub?w=960&h=720,<em>Rufus Porter: Rediscovered</em> by Jean Lipman,color plate 12,"West Boxford, MA","<b>John A. Andrew House</b><br> Attirbuted to Porter School<br>1838<br><img src= 'NA', width = '200'>",-71.06539186,42.69485198,school,school
Greenfield,NH,1825,Squire Craigin House,Porter School,mural,Lipman,https://docs.google.com/drawings/d/e/2PACX-1vTk2X5Jljk7etSCCl2IBCqgooaRojN6zSSLod43sJxlkF7Of2F3U7GIqsLLvNrDSfBT-QBcvF6ec4QN/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,NA,"Greenfield, NH","<b>Squire Craigin House</b><br> Attirbuted to Porter School<br>1825<br><img src= 'NA', width = '200'>",-71.86796642,42.94025361,school,school
Bedford,MA,1830,Job Lane House,Porter School,mural,Lipman,https://joblanefarmmuseum.org/wp-content/uploads/2021/10/DSCN1317-768x576.jpg,Job Lane Farm Museum,NA,"Bedford, MA","<b>Job Lane House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-71.26904597,42.49195158,school,school
Lyme,NH,1825,Kent-Mativia House,Porter School,mural,Lipman,https://upload.wikimedia.org/wikipedia/commons/5/5a/Rufus_Porter_mural_-_Kent_House%2C_Lyme%2C_New_Hampshire.jpg,Wikimedia Commons,NA,"Lyme, NH","<b>Kent-Mativia House</b><br> Attirbuted to Porter School<br>1825<br><img src= 'NA', width = '200'>",-72.14739111,43.81438198,school,school
East Jaffrey,NH,1824,Prescott Tavern,Porter School,mural,Lipman,https://upload.wikimedia.org/wikipedia/commons/c/cc/Rufus_Porter_-_Boston_Harbor_-_2007.385_-_Museum_of_Fine_Arts.jpg,Wikimedia Commons,"55, 56, color plate 1, color plate 2","East Jaffrey, NH","<b>Prescott Tavern</b><br> Attirbuted to Porter School<br>1824<br><img src= '""images/RP_JaffreyNH.jpg""', width = '200'>",-72.02885911,42.82679064,school,school
Hancock,NH,1825,John Hancock Inn,Porter School,mural,Lipman,https://www.ledgertranscript.com/getattachment/8fdc6a21-ab1a-404d-bd3c-dab1eb234b96/rerufus-ml-011620-ph1,"""Muralist Rufus Porter left his mark on many homes and inns in the Monadnock Region"" by Abbe Hamiltoon",NA,"Hancock, NH","<b>John Hancock Inn</b><br> Attirbuted to Porter School<br>1825<br><img src= 'NA', width = '200'>",-71.98415374,42.98095959,school,school
Amesbury,MA,1830,Bartlett House,Porter School,mural,Lipman,NA,,NA,"Amesbury, MA","<b>Bartlett House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-70.92645853,42.84755481,school,school
Andover,MA,1835,Poor-Perry House,Porter School,mural,Lipman,NA,,NA,"Andover, MA","<b>Poor-Perry House</b><br> Attirbuted to Porter School<br>1835<br><img src= 'NA', width = '200'>",-71.12999323,42.65277566,school,school
Bedford,MA,1830,Penniman-Stearns House,Porter School,mural,Lipman,NA,,NA,"Bedford, MA","<b>Penniman-Stearns House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-71.27391773,42.5026303,school,school
Bedford,MA,1830,Jonas Monroe House,Porter School,mural,Lipman,NA,,NA,"Bedford, MA","<b>Jonas Monroe House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-71.28217296,42.47814312,school,school
Bedford,MA,1830,Dutton House,Porter School,mural,Lipman,NA,,NA,"Bedford, MA","<b>Dutton House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-71.28377015,42.49153748,school,school
Bedford,MA,1830,Carroll Dunham House,Porter School,mural,Lipman,NA,,NA,"Bedford, MA","<b>Carroll Dunham House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-71.27991091,42.4994469,school,school
Billerica,MA,1830,Donald Schult House,Porter School,mural,Lipman,NA,,NA,"Billerica, MA","<b>Donald Schult House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-71.26259058,42.56592508,school,school
Billerica,MA,1830,Lyons House,Porter School,mural,Lipman,NA,,NA,"Billerica, MA","<b>Lyons House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-71.27014195,42.55071641,school,school
Billerica,MA,1830,Dyer House,Porter School,mural,Lipman,NA,,NA,"Billerica, MA","<b>Dyer House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-71.27527037,42.56065001,school,school
Billerica,MA,1830,Manning Manse,Porter School,mural,Lipman,NA,,NA,"Billerica, MA","<b>Manning Manse</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-71.27170605,42.54595074,school,school
Boston,MA,1843,Beacon Hill Boarding House,Porter School,mural,Lipman,NA,,NA,"Boston, MA","<b>Beacon Hill Boarding House</b><br> Attirbuted to Porter School<br>1843<br><img src= 'NA', width = '200'>",-71.06249857,42.36216567,school,school
Charlestown,MA,1835,Levi Prosser House,Porter School,mural,Lipman,NA,,NA,"Charlestown, MA","<b>Levi Prosser House</b><br> Attirbuted to Porter School<br>1835<br><img src= 'NA', width = '200'>",-71.05985142,42.3872049,school,school
East Peperell,MA,1824,Coburn Tavern,Porter School,mural,Lipman,NA,,NA,"East Peperell, MA","<b>Coburn Tavern</b><br> Attirbuted to Porter School<br>1824<br><img src= 'NA', width = '200'>",-71.58184783,42.66788879,school,school
East Weymouth,MA,1845,Senigo House,Porter School,mural,Lipman,NA,,NA,"East Weymouth, MA","<b>Senigo House</b><br> Attirbuted to Porter School<br>1845<br><img src= 'NA', width = '200'>",-70.93392368,42.2199294,school,school
Georgetown,MA,1832,G. Arthur Merrill House,Porter School,mural,Lipman,NA,,NA,"Georgetown, MA","<b>G. Arthur Merrill House</b><br> Attirbuted to Porter School<br>1832<br><img src= 'NA', width = '200'>",-70.99167967,42.71181393,school,school
Georgetown,MA,1832,Pingree House,Porter School,mural,Lipman,NA,,NA,"Georgetown, MA","<b>Pingree House</b><br> Attirbuted to Porter School<br>1832<br><img src= 'NA', width = '200'>",-70.98300125,42.72047002,school,school
Georgetown,MA,1832,Pierce House,Porter School,mural,Lipman,NA,,NA,"Georgetown, MA","<b>Pierce House</b><br> Attirbuted to Porter School<br>1832<br><img src= 'NA', width = '200'>",-70.99908218,42.71926426,school,school
Georgetown,MA,1832,Ethel M. Fredrick House,Porter School,mural,Lipman,NA,,NA,"Georgetown, MA","<b>Ethel M. Fredrick House</b><br> Attirbuted to Porter School<br>1832<br><img src= 'NA', width = '200'>",-70.9941284,42.71454894,school,school
Georgetown,MA,1832,John C. Wilkins House,Porter School,mural,Lipman,NA,,NA,"Georgetown, MA","<b>John C. Wilkins House</b><br> Attirbuted to Porter School<br>1832<br><img src= 'NA', width = '200'>",-70.98263904,42.73464853,school,school
Groton,MA,1835,Dr. Harold Ayers House,Jonathan D. Poor,mural,Lipman,NA,,NA,"Groton, MA","<b>Dr. Harold Ayers House</b><br> Attirbuted to Jonathan D. Poor<br>1835<br><img src= 'NA', width = '200'>",-71.56799111,42.60912728,jdp,JDP
Groveland,MA,1830,Harold Stacey House,Porter School,mural,Lipman,NA,,NA,"Groveland, MA","<b>Harold Stacey House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-71.0303009,42.76187008,school,school
Groveland,MA,1830,Spofford House,Porter School,mural,Lipman,NA,,NA,"Groveland, MA","<b>Spofford House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-71.02486192,42.76788737,school,school
Groveland,MA,1830,Edna Worthing Cottage,Porter School,mural,Lipman,NA,,NA,"Groveland, MA","<b>Edna Worthing Cottage</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-71.03888622,42.75654214,school,school
Harvard,MA,1830,R. Raynond Warren Apartments,Porter School,mural,Lipman,NA,,NA,"Harvard, MA","<b>R. Raynond Warren Apartments</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-71.57675524,42.49744338,school,school
Harvard,MA,1830,Wallace F. Bryant Estate Apartments (Whitney house),Porter School,mural,Lipman,NA,,NA,"Harvard, MA","<b>Wallace F. Bryant Estate Apartments (Whitney house)</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-71.58786531,42.48740608,school,school
Lexington,MA,1830,Joshua Simons House,Porter School,mural,Lipman,NA,,NA,"Lexington, MA","<b>Joshua Simons House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-71.22986472,42.44453292,school,school
Lunenburg,MA,1830,Faith Gardner House,Porter School,mural,Lipman,NA,,76,"Lunenburg, MA","<b>Faith Gardner House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-71.71697563,42.58508036,school,school
Merrimac,MA,1830,Sargent House,Porter School,mural,Lipman,NA,,NA,"Merrimac, MA","<b>Sargent House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-71.00139337,42.84289929,school,school
Merrimacport,MA,1830,Ronald Shaw HOuse,Porter School,mural,Lipman,NA,,NA,"Merrimacport, MA","<b>Ronald Shaw HOuse</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-70.99434016,42.82725794,school,school
North Reading,MA,1835,Frances Shay Mague House,Porter School,mural,Lipman,NA,,NA,"North Reading, MA","<b>Frances Shay Mague House</b><br> Attirbuted to Porter School<br>1835<br><img src= 'NA', width = '200'>",-71.07272891,42.58300766,school,school
North Reading,MA,1835,Weeks Memorial Library,Porter School,mural,Lipman,NA,,NA,"North Reading, MA","<b>Weeks Memorial Library</b><br> Attirbuted to Porter School<br>1835<br><img src= 'NA', width = '200'>",-71.07837839,42.58244132,school,school
North Reading,MA,1835,House near Route 28,Porter School,mural,Lipman,NA,,NA,"North Reading, MA","<b>House near Route 28</b><br> Attirbuted to Porter School<br>1835<br><img src= 'NA', width = '200'>",-71.07088676,42.56751968,school,school
Townsend,MA,1830,Charles A. Smith House,Porter School,mural,Lipman,NA,,NA,"Townsend, MA","<b>Charles A. Smith House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-71.70342204,42.66632643,school,school
Townsend,MA,1830,Reed Mansion,Porter School,mural,Lipman,NA,,NA,"Townsend, MA","<b>Reed Mansion</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-71.70231506,42.66507514,school,school
Wakefield,MA,1835,Winn House,Porter School,mural,Lipman,NA,,NA,"Wakefield, MA","<b>Winn House</b><br> Attirbuted to Porter School<br>1835<br><img src= 'NA', width = '200'>",-71.06472803,42.50503605,school,school
Wakefield,MA,1835,Franklin Poole House,Porter School,mural,Lipman,NA,,NA,"Wakefield, MA","<b>Franklin Poole House</b><br> Attirbuted to Porter School<br>1835<br><img src= 'NA', width = '200'>",-71.06687968,42.50678897,school,school
Wakefield,MA,1835,Lilly Eaton House,Porter School,mural,Lipman,NA,,NA,"Wakefield, MA","<b>Lilly Eaton House</b><br> Attirbuted to Porter School<br>1835<br><img src= 'NA', width = '200'>",-71.06635814,42.49998703,school,school
Wakefield,MA,1835,Thomas Walton House,Porter School,mural,Lipman,NA,,NA,"Wakefield, MA","<b>Thomas Walton House</b><br> Attirbuted to Porter School<br>1835<br><img src= 'NA', width = '200'>",-71.07269248,42.51203436,school,school
Wakefield,MA,1835,Kenneth Odiorne House,Porter School,mural,Lipman,NA,,NA,"Wakefield, MA","<b>Kenneth Odiorne House</b><br> Attirbuted to Porter School<br>1835<br><img src= 'NA', width = '200'>",-71.08158702,42.50595382,school,school
West Boxford,MA,1838,Joseph Burgson House,Porter School,mural,Lipman,NA,,NA,"West Boxford, MA","<b>Joseph Burgson House</b><br> Attirbuted to Porter School<br>1838<br><img src= 'NA', width = '200'>",-71.07291789,42.70535812,school,school
West Boxford,MA,1838,Hovey House,Porter School,mural,Lipman,NA,,NA,"West Boxford, MA","<b>Hovey House</b><br> Attirbuted to Porter School<br>1838<br><img src= 'NA', width = '200'>",-71.06079889,42.71020701,school,school
Westwood,MA,1838,Reuben Guild House,Rufus Porter and Stephen Twombly Porter,mural,Lipman,NA,,NA,"Westwood, MA","<b>Reuben Guild House</b><br> Attirbuted to Rufus Porter and Stephen Twombly Porter<br>1838<br><img src= 'NA', width = '200'>",-71.22305524,42.21533547,rp_mural,RP
Westwood,MA,1838,Allen House,Rufus Porter and Stephen Twombly Porter,mural,Lipman,NA,,NA,"Westwood, MA","<b>Allen House</b><br> Attirbuted to Rufus Porter and Stephen Twombly Porter<br>1838<br><img src= 'NA', width = '200'>",-71.22771778,42.21424001,rp_mural,RP
Bridgton,ME,1830,Deacon Libby House,Porter School,mural,Lipman,NA,,NA,"Bridgton, ME","<b>Deacon Libby House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-70.71013113,44.06149311,school,school
Bryant Pond,ME,1835,Whitman Homestead,Jonathan D. Poor,mural,Lipman,NA,,NA,"Bryant Pond, ME","<b>Whitman Homestead</b><br> Attirbuted to Jonathan D. Poor<br>1835<br><img src= 'NA', width = '200'>",-70.5903047,44.40690646,jdp,JDP
Buxton,ME,1830,Carroll Rounds House,Porter School,mural,Lipman,NA,,NA,"Buxton, ME","<b>Carroll Rounds House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-70.5274379,43.63004598,school,school
Buxton,ME,1830,A.I. Poulsen House,Porter School,mural,Lipman,NA,,NA,"Buxton, ME","<b>A.I. Poulsen House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-70.51214622,43.65101027,school,school
Fryeburg,ME,1830,Barrows Homestead,Rufus Porter and Jonathan D. Poor,mural,Lipman,NA,,"color plate 14, color plate 15","Fryeburg, ME","<b>Barrows Homestead</b><br> Attirbuted to Rufus Porter and Jonathan D. Poor<br>1830<br><img src= 'NA', width = '200'>",-70.99001512,44.01731834,rp_mural,RP
Fryeburg,ME,1830,Warren-Towle House,Porter School,mural,Lipman,NA,,NA,"Fryeburg, ME","<b>Warren-Towle House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-70.98923117,44.00917284,school,school
Gorham,ME,1830,Dr. Files House,Porter School,mural,Lipman,NA,,NA,"Gorham, ME","<b>Dr. Files House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-70.44181794,43.66719591,school,school
Gorham,ME,1851,Fox House,Granville Fernald,mural,Lipman,NA,,NA,"Gorham, ME","<b>Fox House</b><br> Attirbuted to Granville Fernald<br>1851<br><img src= 'NA', width = '200'>",-70.43936259,43.68512344,other,other
Hollis Center,ME,1830,Quillcote,Porter School,mural,Lipman,NA,,"70, 71","Hollis Center, ME","<b>Quillcote</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-70.62177721,43.63929556,school,school
Lewiston,ME,1830,H.O. Wood House,Orison Wood,mural,Lipman,NA,,NA,"Lewiston, ME","<b>H.O. Wood House</b><br> Attirbuted to Orison Wood<br>1830<br><img src= 'NA', width = '200'>",-70.22410133,44.09537129,other,other
Lewiston,ME,1830,Howard W. Mann House,Orison Wood,mural,Lipman,NA,,NA,"Lewiston, ME","<b>Howard W. Mann House</b><br> Attirbuted to Orison Wood<br>1830<br><img src= 'NA', width = '200'>",-70.2211776,44.09351914,other,other
Monmouth,ME,1830,Simon Martson House,Porter School,mural,Lipman,NA,,NA,"Monmouth, ME","<b>Simon Martson House</b><br> Attirbuted to Porter School<br>1830<br><img src= 'NA', width = '200'>",-70.03442597,44.22730933,school,school
Portland,ME,1827,Deacon John Bailey House,Porter School,mural,Lipman,NA,,NA,"Portland, ME","<b>Deacon John Bailey House</b><br> Attirbuted to Porter School<br>1827<br><img src= 'NA', width = '200'>",-70.25437335,43.66619115,school,school
Portland,ME,1827,Ellis Place,Porter School,mural,Lipman,NA,,NA,"Portland, ME","<b>Ellis Place</b><br> Attirbuted to Porter School<br>1827<br><img src= 'NA', width = '200'>",-70.25833299,43.65757671,school,school
Rumford,ME,1840,Phil Baker House,Jonathan D. Poor,mural,Lipman,NA,,NA,"Rumford, ME","<b>Phil Baker House</b><br> Attirbuted to Jonathan D. Poor<br>1840<br><img src= 'NA', width = '200'>",-70.55080136,44.55449991,jdp,JDP
Sebec,ME,1824,Ellerton Jette House,"Rufus Porter and Moses Eaton, Jr.",mural,Lipman,NA,,"61, 62","Sebec, ME","<b>Ellerton Jette House</b><br> Attirbuted to Rufus Porter and Moses Eaton, Jr.<br>1824<br><img src= 'NA', width = '200'>",-69.11270983,45.28101313,rp_mural,RP
