motif,img
village-stenciled,https://docs.google.com/drawings/d/e/2PACX-1vTj2Rj8sPGKPUo_LXbkWIQTeO822dmUlSScaAXf9lPXMeYMrpR74iU6c5CHm6fjdkkW8v7C_9iJfEu7/pub?w=602&h=292
taupe-barn,https://docs.google.com/drawings/d/e/2PACX-1vRQ98cIejBrT6aJqs9PAnhxzhkWIUOqrqbnJLKj5n420YBtY95cozS5WYt0Ngq6jK0pG-4OgGzoKYnK/pub?w=600&h=448
steamboat,http://s3.amazonaws.com/afanews_articles/01019/FIG-11_-13---Prescott-signature.png
hat-tree,https://docs.google.com/drawings/d/e/2PACX-1vTitOp2DI8vV7qLbLP1JpEnajSMMp70Hjc4SvuH35CSWqfFbZ-XLU9GiUA_fMtA5Z3oZK3FihUG7MZZ/pub?w=602&h=498
birds,https://docs.google.com/drawings/d/e/2PACX-1vS23JHQMNsDidRPWPZbIGFd3ZIK7cO6XkBU_UM3TKX9JSUqYQaSCbNy6HKpl7ihrqCuX2gAad97u9Yr/pub?w=602&h=293
fallen-tree,https://docs.google.com/drawings/d/e/2PACX-1vQGHldGu5bsJ2mlRcEP4MFCbgTL969z0ghQpKp9xhJAyvTTQtuq1i1xcUAWGa3-XrM6FH4CD6_cO2dI/pub?w=602&h=894
pair-tree,https://docs.google.com/drawings/d/e/2PACX-1vRlTEBPDDqRkQrvdsJ1c0jpiWBLtgminR_lvAC3eu2CFYEr9QreR5hKl5g2YNFnpVqTfDsBnnsh2gCz/pub?w=600&h=1385
horses,https://docs.google.com/drawings/d/e/2PACX-1vSQ-Nh-Kbf58paxXaRS_URjikjFokDTXxzqYpnll5iA08qDTqjEjHwF37JhmajcS-fX-fDRefTgNyhi/pub?w=602&h=443
dogs,https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=600&h=800
deer,https://docs.google.com/drawings/d/e/2PACX-1vTSGHpeBFlYPsll27Zcg6DBOB3fhxjXCon1muxTDFVPmjC1evqsR9jDS3D7xqgQ8w_tIJVqXs7kjuFJ/pub?w=600&h=800
militia,https://docs.google.com/drawings/d/e/2PACX-1vQ4IMSYwaJigi2mgWIb5thiNKcl9ukVHtMIzfkcLWjEsHpWaA8AoOnykInK-Vy7mgwJ9p1AU19earZ-/pub?w=600&h=385
farm,https://docs.google.com/drawings/d/e/2PACX-1vRVdaAmwwNk7iz05PsdXhZQbKmy_3KgZqnaUDltD2E27pS6rZVHVQNoilyqTlT3IRt8FuM6KZt5sgGX/pub?w=601&h=309
ferns,https://docs.google.com/drawings/d/e/2PACX-1vR_EqZyUUVsY5bmOZShp29vm_mzE7zjKUGdmtLo6kUx-LjRbUsIB_iAOsnoDEOO8M8j2Q6hqdaIE5pn/pub?w=602&h=888
white-house,https://docs.google.com/drawings/d/e/2PACX-1vQIrm82IiVCbOngPQGhDds_9qHy0AXwWnrzDFI0ntAd9V2sMIRPL80dMlULtbCkBkpmt1Nh8fg8P2Db/pub?w=600&h=359
three-buildings,https://docs.google.com/drawings/d/e/2PACX-1vRXm0razNo-pENOdABGR7-AJPleHdRBxBbRy92-W2LpjjWLJPjUEwrTX--D8-jxrQPrAeu24MSVhKsK/pub?w=600&h=414
nocenter-tree,https://docs.google.com/drawings/d/e/2PACX-1vRReEus0-Pz0wlEYvEIy4n7RbiGmfaN0F0etn5s1YhV4k3vpb5ztg4gsYppldgTcQYksJuOVdFgQFdz/pub?w=600&h=1155
chair-rail,https://docs.google.com/drawings/d/e/2PACX-1vSVaVJP_7xNqMgY3XnHQ5FGnbllrf48N4dqnEqOHm7MnvH2o7sqZheYZ8_r_GOAIcED9VQSSmMysuyZ/pub?w=600&h=438
fence,https://docs.google.com/drawings/d/e/2PACX-1vQjRir4uAbWENWP4ZBHC8oHNEbxXAKbUBJlR49PyWviCdYbpfHCPuaMfs3DkmV4JCgk1EpPhJSkT9yS/pub?w=601&h=213
skiff,http://s3.amazonaws.com/afanews_articles/01019/FIG-5_-%282.37-pg.png
village-handpaint,https://docs.google.com/drawings/d/e/2PACX-1vQFuNu4e3puXb75-PB5jbQbJsic3Q8lYVHOOPkxU5j--KsUSnNbs8cmFV47NNFL6fxLfk6bI-d6B48T/pub?w=604&h=288
cows,https://docs.google.com/drawings/d/e/2PACX-1vT4gn94dXN3tz8EICzffy-eCjWysI9pHS818pwBQmExaK4PIJqdF7DpZVWVpnqQn-uAKZkTJQ9wS_l-/pub?w=600&h=405
windmill,https://docs.google.com/drawings/d/e/2PACX-1vSKpaGq0zwETwx7rxUzqAIOmjKT5MUPkerGhz_OXAI0zHOSz6BmtsJVuCERwj-iwDC3XueJefTmKA3X/pub?w=602&h=573
observatory,https://docs.google.com/drawings/d/e/2PACX-1vTAiD9uKCM662BDRLQ_ERwo02s2Hywcz4fXwHTASKGCGIRI1fhqIJuthCwNfI4u36lRkB-3B_YVoJUC/pub?w=600&h=575
woods,https://docs.google.com/drawings/d/e/2PACX-1vSwUlJQnXD8hm-yQKWpqYJjQonrBuiURFmHOqPv4o6RfwN4ko6-GFc1GHpdS-tENqQFKIzLpL_6e4Ag/pub?w=602&h=237
octagon,https://docs.google.com/drawings/d/e/2PACX-1vSQc87zlPL_K-gRY8slwqv58sIJPZ3SHFpQfaMaUUJDUumEMwzgCfQgctSbdMxmkJFY3p-62dtBLLz-/pub?w=602&h=432
waterfall,https://docs.google.com/drawings/d/e/2PACX-1vQaeRjhLy-_KvGMCIDI64kiznxm0GjjkS9oYZ754SYC4N8qJ7cmMTo-eF5BIyGIcVbZsvWh1_Aeu54G/pub?w=604&h=259
border-stenciled,https://docs.google.com/drawings/d/e/2PACX-1vQZAlq_uA9zewllGeEdqaEbDIDp5re2MMAxpJpUOkj9mBKhd6OWxWsvvRi9G2u_OKwMyrE7GCToA5w3/pub?w=602&h=227
man-shooting,https://docs.google.com/drawings/d/e/2PACX-1vSOzuok_BeO2Bzq9Qy9kUxQYur-pIG_t6yHjSRs7Rjl1ZCTWq8QpOL9vC_tZnBCcdLYenyH-cCJEpGp/pub?w=602&h=492
red-house,https://docs.google.com/drawings/d/e/2PACX-1vQoM134LEB5UsOcbKJT_z2xt_hTSYivS-AwwIymRw2EFNA2pshPb5u4vNn5u5427w1tzfHwCY_NJu8E/pub?w=600&h=449
orchard,https://docs.google.com/drawings/d/e/2PACX-1vSvKErGkU_EPdizjDNbEAJ0eVF9ETdchNnuH4Bs_PlsYmz-PHmv8_aUNXX_-pRGLXcR0u7QXMNPrp12/pub?w=602&h=370
sumac,https://docs.google.com/drawings/d/e/2PACX-1vTSTq0ZhOXGcXik7DGeL8kaOlPCsbIlqifp5St_lMxG6BKyF_yW_nctmT8KYtLEEBpXM8-t7ClMyaFs/pub?w=602&h=331
signpost,https://docs.google.com/drawings/d/e/2PACX-1vSwH_KaxdoW_f5OF3ilsicEvJ5Ej-iNCCDCPRua0UJWG4sslZd0naVDiN7xlitETNU5XDZicWWMcLVe/pub?w=600&h=1219
galleon,http://s3.amazonaws.com/afanews_articles/01019/FIG-12_-10---Bean-signature-on-ship-LCL.png
moountains,https://docs.google.com/drawings/d/e/2PACX-1vQ4edzD42-VBRorOabWSnSf27IePLNpRsk3FS5bZB27v3nOez2Uh1_txZcBQXzAdX1X2v3g41uCprqx/pub?w=598&h=1005
half-tree,https://docs.google.com/drawings/d/e/2PACX-1vSRX97P0NzQRlPn_2oLtRBWaIpl0SRyn9yCSCmnkbnW-XmH-yFan5Vo5fDWoOIfq1a90eYnyMQDknZK/pub?w=602&h=1333
sailboats,https://docs.google.com/drawings/d/e/2PACX-1vSlhhfsxnNx0BrRen_EaJATxuDTVqI--Y-KqpwEYKS3U-bLo8GCN_a2vJmJNEDCXiSxAmJYlTJEiwyb/pub?w=600&h=519